Time (hrs),Absorbance,Cell Growth Concentration (mg/mL),Specific Growth Rate (Âµ)
0.0,0.29,0.28926701570680635,0.0
0.5,0.32,0.31675392670157076,0.18155004927786736
1.0,0.47,0.4541884816753927,0.7207741075803453
1.5,0.6,0.5732984293193718,0.4657882608591738
2.0,0.7,0.6649214659685865,0.2965250744040716
2.5,0.74,0.7015706806282723,0.10730542698464
3.0,0.76,0.7198952879581153,0.05156823431142927
3.5,0.77,0.7290575916230367,0.02529392340153478
4.0,0.77,0.7290575916230367,0.0
4.5,0.7,0.6649214659685865,-0.1841675846976043
5.0,0.57,0.5458115183246074,-0.39479045155936093
5.5,0.54,0.5183246073298431,-0.10334402108864138
6.0,0.42,0.40837696335078544,-0.47682204688999646
