,Time (hrs),Absorbance,pH,Temperature (â„ƒ),Bioflocculant Concentration (mg/mL),Production Rate (mg/mL per hr)
0,0,0.33,5.0,27.0,0.33152274837511614,0.22168059424326828
1,2,0.83,5.0,30.0,0.7748839368616527,0.13522516248839367
2,4,0.94,5.0,28.0,0.8724233983286909,-0.06872098421541317
3,6,0.52,5.5,26.5,0.5,-0.11305710306406686
4,8,0.43,5.6,26.5,0.42019498607242345,-0.02881847725162487
5,10,0.39,6.0,33.0,0.3847260909935005,0.0044336118848653655
6,12,0.45,5.0,31.0,0.4379294336118849,0.01995125348189415
7,14,0.48,5.8,26.5,0.46453110492107713,-0.002216805942432676
8,16,0.44,6.0,26.0,0.4290622098421542,-0.01995125348189415
9,18,0.39,4.0,33.5,0.3847260909935005,-0.024384865366759517
10,20,0.33,6.0,34.5,0.33152274837511614,-0.006650417827298055
11,22,0.36,4.0,36.5,0.3581244196843083,0.0022168059424326897
12,24,0.34,5.0,35.0,0.3403899721448469,-0.008867223769730703
